rule_id,issue,field,value,severity
1,allow_all_service,service,all,MEDIUM
1,allow_all_service,action,accept,MEDIUM
2,allow_all_service,service,all,MEDIUM
2,allow_all_service,action,accept,MEDIUM
3,allow_all_service,service,all,MEDIUM
3,allow_all_service,action,accept,MEDIUM
4,allow_all_destination_port,dstaddr,all,HIGH
4,allow_all_destination_port,action,accept,HIGH
4,allow_all_service,service,all,MEDIUM
4,allow_all_service,action,accept,MEDIUM
4,broad_ip_range,dstaddr,all,HIGH
5,allow_all_destination_port,dstaddr,all,HIGH
5,allow_all_destination_port,action,accept,HIGH
5,allow_all_service,service,all,MEDIUM
5,allow_all_service,action,accept,MEDIUM
5,broad_ip_range,dstaddr,all,HIGH
6,allow_all_service,service,all,MEDIUM
6,allow_all_service,action,accept,MEDIUM
7,allow_all_source_port,srcaddr,all,HIGH
7,allow_all_source_port,action,accept,HIGH
7,allow_all_destination_port,dstaddr,all,HIGH
7,allow_all_destination_port,action,accept,HIGH
7,allow_all_service,service,all,MEDIUM
7,allow_all_service,action,accept,MEDIUM
7,broad_ip_range,srcaddr,all,HIGH
7,broad_ip_range,dstaddr,all,HIGH
